"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes"
"Algeria","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1474.549","1"
"Algeria","2004","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","522.099","1,4"
"Algeria","2004","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1671.534","1"
"Algeria","2004","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","1149.435","1,4"
"Algeria","2003","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2078","1"
"Algeria","2003","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","669.781","1,4"
"Algeria","2003","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","1408.489","1,4"
"Algeria","2002","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2247.283","1"
"Algeria","2001","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2339.4","1"
"Algeria","2001","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","1590.375","1,4"
"Algeria","2001","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","749.073","1,4"
"Algeria","2000","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2427.7","1"
"Algeria","2000","Total men and women","Total coverage","Official estimates","# 0","Unemployed","2427.7","5"
"Algeria","1997","Total men and women","Total coverage","Official estimates","# 0","Unemployed","2049","5"
"Algeria","1997","Total men and women","Total coverage","Official estimates","# 0","Previously employed","498","5,6"
"Algeria","1997","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2049","1"
"Algeria","1997","Total men and women","Total coverage","Official estimates","# 0","First job seekers","1551","5,6"
"Algeria","1995","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2104.7","1"
"Algeria","1995","Total men and women","Total coverage","Official estimates","# 0","Unemployed","2105","5"
"Algeria","1994","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1660","5"
"Algeria","1993","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1519","5"
"Algeria","1992","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1482","5"
"Algeria","1992","Total men and women","Total coverage","Official estimates","# 0","Previously employed","539.2","5"
"Algeria","1992","Total men and women","Total coverage","Official estimates","# 0","First job seekers","942.8","5"
"Algeria","1991","Total men and women","Total coverage","Official estimates","# 0","First job seekers","853","5"
"Algeria","1991","Total men and women","Total coverage","Official estimates","# 0","Previously employed","408","5"
"Algeria","1991","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1261","5"
"Algeria","1991","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1266","1"
"Algeria","1990","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1156","5"
"Algeria","1989","Total men and women","Total coverage","Official estimates","# 0","Unemployed","946","5"
"Algeria","1989","Total men and women","Total coverage","Official estimates","# 0","Previously employed","326.8","5"
"Algeria","1989","Total men and women","Total coverage","Official estimates","# 0","First job seekers","619.2","5"
"American Samoa","2000","Total men and women","Total coverage","Population census","# 0","Unemployed","0.909","3,7"
"American Samoa","1990","Total men and women","Total coverage","Population census","# 0","Unemployed","0.726","3,7"
"American Samoa","1986","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.564","1"
"American Samoa","1985","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.5","1"
"American Samoa","1984","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.426","1"
"American Samoa","1983","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.357","1"
"American Samoa","1982","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.287","1"
"American Samoa","1981","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.218","1"
"American Samoa","1980","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.149","1"
"American Samoa","1979","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.476","1"
"American Samoa","1978","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.488","1"
"American Samoa","1977","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.365","1"
"American Samoa","1976","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.721","1"
"American Samoa","1975","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.641","1"
"American Samoa","1974","Total men and women","Total coverage","Official estimates","# 0","Unemployed","1.106","1"
"Angola","1996","Total men and women","Work applicants","Employment office records","# 0","Unemployed","18.999","8"
"Angola","1986","Total men and women","Work applicants","Employment office records","# 0","Unemployed","69.399","8"
"Angola","1985","Total men and women","Work applicants","Employment office records","# 0","Unemployed","56.051","8"
"Angola","1984","Total men and women","Work applicants","Employment office records","# 0","Unemployed","52.015","8"
"Anguilla","2002","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","0.465","1,9,10"
"Anguilla","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","0.406","1,11"
"Anguilla","1999","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","0.557","1,10"
"Anguilla","1992","Total men and women","Total coverage","Population census","# 0","Unemployed","0.322","1,11"
"Anguilla","1984","Total men and women","Total coverage","Population census","# 0","Unemployed","0.724","1,11"
"Anguilla","1974","Total men and women","Total coverage","Population census","# 0","Unemployed","0.785","1,11"
"Antigua and Barbuda","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","3.329","1,11"
"Antigua and Barbuda","1976","Total men and women","Total coverage","Official estimates","# 0","Unemployed","5.222",""
"Antigua and Barbuda","1975","Total men and women","Total coverage","Official estimates","# 0","Unemployed","4.772",""
"Antigua and Barbuda","1974","Total men and women","Total coverage","Official estimates","# 0","Unemployed","4.652",""
"Antigua and Barbuda","1973","Total men and women","Total coverage","Official estimates","# 0","Unemployed","4.58",""
"Argentina","2008","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","898","12,13,14,15"
"Argentina","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","936","12,13,14,15"
"Argentina","2006","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1049.198","12,14,15,16"
"Argentina","2006","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","915.189","12,14,15,16"
"Argentina","2006","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","134.009","12,14,15,16"
"Argentina","2005","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","137.615","12,14,15"
"Argentina","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1141.499","12,14,15"
"Argentina","2005","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1003.884","12,14,15"
"Argentina","2004","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1164.89","12,14,15"
"Argentina","2004","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1361.579","12,14,15"
"Argentina","2004","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","196.69","12,14,15"
"Argentina","2003","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","228.08","12,14,15,17"
"Argentina","2003","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1633.004","12,14,15,17"
"Argentina","2003","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1403.415","12,14,15,17"
"Argentina","2002","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1712.861","12,14,15"
"Argentina","2002","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1955.812","12,14,15"
"Argentina","2002","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","239.909","12,14,15"
"Argentina","2001","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","189.469","12,14,15"
"Argentina","2001","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1709.761","12,14,15"
"Argentina","2001","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1517.389","12,14,15"
"Argentina","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","4351.596","8,11,18"
"Argentina","2000","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1286.26","12,14,15"
"Argentina","2000","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1460.858","12,14,15"
"Argentina","2000","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","173.189","12,14,15"
"Argentina","1999","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","166.271","12,14,15"
"Argentina","1999","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1359.61","12,14,15"
"Argentina","1999","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1192.484","12,14,15"
"Argentina","1998","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1025.753","12,14,15"
"Argentina","1998","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1203.075","12,14,15"
"Argentina","1998","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","177.322","12,14,15"
"Argentina","1997","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","215.629","12,14,15"
"Argentina","1997","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1375.066","12,14,15"
"Argentina","1997","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1152.427","12,14,15"
"Argentina","1996","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","1278.016","12,14,15,19"
"Argentina","1996","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","1531.385","12,14,15,19"
"Argentina","1996","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","249.785","12,14,15,19"
"Argentina","1995","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","119.411","12,14,15"
"Argentina","1995","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","963.632","12,14,15"
"Argentina","1995","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","842.699","12,14,15"
"Argentina","1994","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","512.642","12,14,15"
"Argentina","1994","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","595.098","12,14,15"
"Argentina","1994","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","82.456","12,14,15"
"Argentina","1993","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","72.665","12,14,15"
"Argentina","1993","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","493.944","12,14,15"
"Argentina","1993","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","420.847","12,14,15"
"Argentina","1992","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","260.824","12,14,15"
"Argentina","1992","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","305.174","12,14,15"
"Argentina","1992","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","42.203","12,14,15"
"Argentina","1991","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","43.815","12,14,15,20"
"Argentina","1991","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","257.268","12,14,15,20"
"Argentina","1991","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","212.983","12,14,15,20"
"Argentina","1991","Total men and women","Total coverage","Population census","# 0","Unemployed","833.872","8,11"
"Argentina","1990","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","283.741","12,14,15"
"Argentina","1990","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","332.067","12,14,15"
"Argentina","1990","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","48.326","12,14,15"
"Argentina","1989","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","46.246","12,14,15"
"Argentina","1989","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","334.661","12,14,15"
"Argentina","1989","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","282.239","12,14,15"
"Argentina","1988","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","220.001","12,14,15"
"Argentina","1988","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","266.122","12,14,15"
"Argentina","1988","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","35.484","12,14,15"
"Argentina","1987","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","22.78","12,14,15"
"Argentina","1987","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","230.467","12,14,15"
"Argentina","1987","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","191.323","12,14,15"
"Argentina","1986","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","150.17","12,14,15"
"Argentina","1986","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","177.811","12,14,15"
"Argentina","1986","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","27.641","12,14,15"
"Argentina","1985","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","30.402","12,14,15"
"Argentina","1985","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","216.231","12,14,15"
"Argentina","1985","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","185.82","12,14,15"
"Argentina","1984","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","117.275","12,14,15"
"Argentina","1984","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","152.053","12,14,15"
"Argentina","1984","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","23.95","12,14,15"
"Argentina","1983","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","32.227","12,14,15"
"Argentina","1983","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","159.421","12,14,15"
"Argentina","1983","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","119.451","12,14,15"
"Argentina","1982","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","150.872","12,14,15"
"Argentina","1982","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","183.641","12,14,15"
"Argentina","1982","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","29.584","12,14,15"
"Argentina","1981","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","22.319","12,14,15"
"Argentina","1981","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","174.807","12,14,15"
"Argentina","1981","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","145.439","12,14,15"
"Argentina","1980","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","68.398","12,14,15"
"Argentina","1980","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","82.162","12,14,15"
"Argentina","1980","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","10.323","12,14,15"
"Argentina","1979","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","11.54","12,14,15"
"Argentina","1979","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","69.5","12,14,15"
"Argentina","1979","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","57.945","12,14,15"
"Argentina","1978","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","82.281","12,14,15"
"Argentina","1978","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","101.6","12,14,15"
"Argentina","1978","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","19.288","12,14,15"
"Argentina","1977","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","13.404","12,14,15"
"Argentina","1977","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","103.3","12,14,15"
"Argentina","1977","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","89.912","12,14,15"
"Argentina","1976","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","125.414","12,14,15"
"Argentina","1976","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","159.1","12,14,15"
"Argentina","1976","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","33.686","12,14,15"
"Argentina","1975","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","21.237","12,14,15"
"Argentina","1975","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","97","12,14,15"
"Argentina","1975","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","75.769","12,14,15"
"Argentina","1974","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","84.043","12,14,15"
"Argentina","1974","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","121.2","12,14,15"
"Argentina","1974","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","29.83","12,14,15"
"Argentina","1973","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","173","12,14,15"
"Argentina","1972","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","221.5","12,14,15"
"Argentina","1971","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","196.5","12,14,15"
"Argentina","1970","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","158","12,14,15"
"Armenia","2008","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","74.7","2,21"
"Armenia","2008","Total men and women","Registered unemployment","Employment office records","# 0","First job seekers","11.5","2,21"
"Armenia","2007","Total men and women","Registered unemployment","Employment office records","# 0","First job seekers","10","2,21"
"Armenia","2007","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","75.1","2,21"
"Armenia","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","470.9","7"
"Armenia","2007","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","247.6","7"
"Armenia","2007","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","82.8","21"
"Armenia","2006","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","88.9","21"
"Armenia","2006","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","84.6","2,21"
"Armenia","2005","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","89","2,21"
"Armenia","2005","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","98","21"
"Armenia","2004","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","114.8","21"
"Armenia","2004","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","108.6","2,21"
"Armenia","2003","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","118.6","2,21"
"Armenia","2003","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","124.8","21"
"Armenia","2002","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","127.3","2,21"
"Armenia","2002","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","133.7","21"
"Armenia","2001","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","146.8","21"
"Armenia","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","570.498","1,20"
"Armenia","2001","Total men and women","Total coverage","Population census","# 0","Previously employed","422.548","1,20"
"Armenia","2001","Total men and women","Total coverage","Population census","# 0","First job seekers","147.95","1,20"
"Armenia","2001","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","138.4","2,21"
"Armenia","2000","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","153.9","2,21"
"Armenia","2000","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","169.5","21"
"Armenia","1999","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","164.2","21"
"Armenia","1999","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","175","2,21"
"Armenia","1998","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","133.8","2,21"
"Armenia","1998","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","139.1","21"
"Armenia","1997","Total men and women","Registered unemployment","Official estimates","# 0","Unemployed","166.1","21"
"Armenia","1997","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","423.7","1,22"
"Armenia","1997","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","174.4","2,21"
"Armenia","1996","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","159.3","2,21"
"Armenia","1995","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","131.7","2,21"
"Armenia","1994","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","91.8","2,21"
"Armenia","1993","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","102.6","2,21"
"Armenia","1992","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","56.3","2,21"
"Aruba","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","3.123","1,20"
"Aruba","2000","Total men and women","Total coverage","Population census","# 0","Unemployed","3.118","1,20"
"Aruba","1997","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","3.339","1,20"
"Aruba","1994","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","2.48","1,20"
"Aruba","1991","Total men and women","Total coverage","Population census","# 0","Unemployed","1.891","1,8,20"
"Australia","2008","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","470.851","1"
"Australia","2008","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","370.279","1,23"
"Australia","2008","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","100.124","1"
"Australia","2007","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","108.539","1"
"Australia","2007","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","229.389","1,23"
"Australia","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","487.454","1"
"Australia","2006","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","517.668","1"
"Australia","2006","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","195.391","1,23"
"Australia","2006","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","105.361","1"
"Australia","2005","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","102.039","1"
"Australia","2005","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","209.906","1,23"
"Australia","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","528.956","1"
"Australia","2004","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","554.749","1"
"Australia","2004","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","221.676","1,23"
"Australia","2004","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","102.566","1"
"Australia","2003","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","102.871","1"
"Australia","2003","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","242.6","1,23"
"Australia","2003","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","595.992","1"
"Australia","2002","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","631.157","1"
"Australia","2002","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","265.217","1,23"
"Australia","2002","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","104.211","1"
"Australia","2001","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","97.8","1"
"Australia","2001","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","302.138","1,23"
"Australia","2001","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","663.5","1"
"Australia","2000","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","607.5","1"
"Australia","2000","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","129.9","1"
"Australia","1999","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","144.4","1"
"Australia","1999","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","654.9","1"
"Australia","1998","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","728.1","1"
"Australia","1998","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","146.2","1"
"Australia","1997","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","155.5","1"
"Australia","1997","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","769.1","1"
"Australia","1996","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","750.6","1"
"Australia","1996","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","151.1","1"
"Australia","1996","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","599.5","1,23"
"Australia","1995","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","596.5","1,23,24"
"Australia","1995","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","154.5","1,24"
"Australia","1995","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","751","1,24"
"Australia","1994","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","830.5","1"
"Australia","1994","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","168.2","1"
"Australia","1994","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","687.3","1,23"
"Australia","1993","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","770.4","1,23"
"Australia","1993","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","168.7","1"
"Australia","1993","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","922.3","1"
"Australia","1992","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","895.9","1"
"Australia","1992","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","165.3","1"
"Australia","1992","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","759.8","1,23"
"Australia","1991","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","680.6","1,23"
"Australia","1991","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","133.9","1"
"Australia","1991","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","814.5","1"
"Australia","1990","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","584.8","1"
"Australia","1990","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","101","1"
"Australia","1990","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","483.4","1,23"
"Australia","1989","Total men and women","Total coverage","Labour force survey","# 1","Previously employed","412.7","1,23,25"
"Australia","1989","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","95.4","1,25"
